ts	httpadvanced_download_bandwidth
2021-06-16 06:55:19	3070.0
2021-06-16 07:00:19	3136.0
2021-06-16 07:05:19	2946.0
2021-06-16 07:10:19	3314.0
2021-06-16 07:15:19	3514.0
2021-06-16 07:20:19	2778.0
2021-06-16 07:25:19	2916.0
2021-06-16 07:30:19	3170.0
2021-06-16 07:35:19	3038.0
2021-06-16 07:40:19	3103.0
2021-06-16 07:45:19	3038.0
2021-06-16 07:50:19	2831.0
2021-06-16 07:55:19	3038.0
2021-06-16 08:00:19	3170.0
2021-06-16 08:05:19	2946.0
2021-06-16 08:10:19	3240.0
2021-06-16 08:15:19	2976.0
2021-06-16 08:20:19	2976.0
2021-06-16 08:25:19	3277.0
2021-06-16 08:30:19	3038.0
2021-06-16 08:35:19	2888.0
2021-06-16 08:40:19	2976.0
2021-06-16 08:45:19	2676.0
2021-06-16 08:50:19	2558.0
2021-06-16 08:55:19	2676.0
2021-06-16 09:00:19	2751.0
2021-06-16 09:05:19	2581.0
2021-06-16 09:10:19	2581.0
2021-06-16 09:15:19	2536.0
2021-06-16 09:20:19	2472.0
2021-06-16 09:25:19	2352.0
2021-06-16 09:30:19	2778.0
2021-06-16 09:35:19	2946.0
2021-06-16 09:40:19	2831.0
2021-06-16 09:45:19	2778.0
2021-06-16 09:50:19	2976.0
2021-06-16 09:55:19	2651.0
2021-06-16 10:00:19	2352.0
2021-06-16 10:05:19	2604.0
2021-06-16 10:10:19	2390.0
2021-06-16 10:15:19	2581.0
2021-06-16 10:20:19	2778.0
2021-06-16 10:25:19	2315.0
2021-06-16 10:30:19	2352.0
2021-06-16 10:35:19	2390.0
2021-06-16 10:40:19	2493.0
2021-06-16 10:45:19	2558.0
2021-06-16 10:50:19	2410.0
2021-06-16 10:55:19	3277.0
2021-06-16 11:00:19	3103.0
2021-06-16 11:05:19	2514.0
2021-06-16 11:10:19	3277.0
2021-06-16 11:15:19	2751.0
2021-06-16 11:20:19	2804.0
2021-06-16 11:25:19	2888.0
2021-06-16 11:30:19	2859.0
2021-06-16 11:35:19	2804.0
2021-06-16 11:40:19	2976.0
2021-06-16 11:45:19	2831.0
2021-06-16 11:50:19	3038.0
2021-06-16 11:55:19	2726.0
2021-06-16 12:00:19	2581.0
2021-06-16 12:05:19	3007.0
2021-06-16 12:10:19	2916.0
2021-06-16 12:15:19	2859.0
2021-06-16 12:20:19	2558.0
2021-06-16 12:25:19	2651.0
2021-06-16 12:30:19	3038.0
2021-06-16 12:35:19	2536.0
2021-06-16 12:40:19	2859.0
2021-06-16 12:45:19	3136.0
2021-06-16 12:50:19	2831.0
2021-06-16 12:55:19	3007.0
2021-06-16 13:00:19	2916.0
2021-06-16 13:05:19	2946.0
2021-06-16 13:10:19	2916.0
2021-06-16 13:15:19	2804.0
2021-06-16 13:20:19	2831.0
2021-06-16 13:25:19	2916.0
2021-06-16 13:30:19	2888.0
2021-06-16 13:35:19	2946.0
2021-06-16 13:40:19	3352.0
2021-06-16 13:45:19	3038.0
2021-06-16 13:50:19	3007.0
2021-06-16 13:55:19	2831.0
2021-06-16 14:00:19	2581.0
2021-06-16 14:05:19	2536.0
2021-06-16 14:10:19	2472.0
2021-06-16 14:15:19	2804.0
2021-06-16 14:20:19	3007.0
2021-06-16 14:25:19	2778.0
2021-06-16 14:30:19	3007.0
2021-06-16 14:35:19	2410.0
2021-06-16 14:40:19	2976.0
2021-06-16 14:45:19	3136.0
2021-06-16 14:50:19	3007.0
2021-06-16 14:55:19	3205.0
2021-06-16 15:00:19	2536.0
2021-06-16 15:05:19	2472.0
2021-06-16 15:10:19	2804.0
2021-06-16 15:15:19	3038.0
2021-06-16 15:20:19	2676.0
2021-06-16 15:25:19	2676.0
2021-06-16 15:30:19	2946.0
2021-06-16 15:35:19	3070.0
2021-06-16 15:40:19	2726.0
2021-06-16 15:45:19	3007.0
2021-06-16 15:50:19	2916.0
2021-06-16 15:55:19	2888.0
2021-06-16 16:00:19	2726.0
2021-06-16 16:05:19	2888.0
2021-06-16 16:10:19	2430.0
2021-06-16 16:15:19	2536.0
2021-06-16 16:20:19	2831.0
2021-06-16 16:25:19	2859.0
2021-06-16 16:30:19	2581.0
2021-06-16 16:35:19	2888.0
2021-06-16 16:40:19	2726.0
2021-06-16 16:45:19	2831.0
2021-06-16 16:50:19	2976.0
2021-06-16 16:55:19	2627.0
2021-06-16 17:00:19	3103.0
2021-06-16 17:05:19	3038.0
2021-06-16 17:10:19	2946.0
2021-06-16 17:15:19	2831.0
2021-06-16 17:20:19	2976.0
2021-06-16 17:25:19	3038.0
2021-06-16 17:30:19	2751.0
2021-06-16 17:35:19	2916.0
2021-06-16 17:40:19	2976.0
2021-06-16 17:45:19	2831.0
2021-06-16 17:50:19	2676.0
2021-06-16 17:55:19	2700.0
2021-06-16 18:00:19	2676.0
2021-06-16 18:05:19	2700.0
2021-06-16 18:10:19	2916.0
2021-06-16 18:15:19	2976.0
2021-06-16 18:20:19	2726.0
2021-06-16 18:25:19	3007.0
2021-06-16 18:30:19	3431.0
2021-06-16 18:35:19	2410.0
2021-06-16 18:40:19	2726.0
2021-06-16 18:45:19	2888.0
2021-06-16 18:50:19	2976.0
2021-06-16 18:55:19	3070.0
2021-06-16 19:00:19	3103.0
2021-06-16 19:05:19	2676.0
2021-06-16 19:10:19	2888.0
2021-06-16 19:15:19	3007.0
2021-06-16 19:20:19	2976.0
2021-06-16 19:25:19	2859.0
2021-06-16 19:30:19	3205.0
2021-06-16 19:35:19	2859.0
2021-06-16 19:40:19	2976.0
2021-06-16 19:45:19	2916.0
2021-06-16 19:50:19	2651.0
2021-06-16 19:55:19	2859.0
2021-06-16 20:00:19	2558.0
2021-06-16 20:05:19	2946.0
2021-06-16 20:10:19	2804.0
2021-06-16 20:15:19	2946.0
2021-06-16 20:20:19	2976.0
2021-06-16 20:25:19	2627.0
2021-06-16 20:30:19	2859.0
2021-06-16 20:35:19	3070.0
2021-06-16 20:40:19	2831.0
2021-06-16 20:45:19	2888.0
2021-06-16 20:50:19	2976.0
2021-06-16 20:55:19	2700.0
2021-06-16 21:00:19	2976.0
2021-06-16 21:05:19	3136.0
2021-06-16 21:10:19	3038.0
2021-06-16 21:15:19	2888.0
2021-06-16 21:20:19	2888.0
2021-06-16 21:25:19	3136.0
2021-06-16 21:30:19	2751.0
2021-06-16 21:35:19	1726.0
2021-06-16 21:40:19	2888.0
2021-06-16 21:45:19	2676.0
2021-06-16 21:50:19	3007.0
2021-06-16 21:55:19	2888.0
2021-06-16 22:00:19	2536.0
2021-06-16 22:05:19	2888.0
2021-06-16 22:10:19	3070.0
2021-06-16 22:15:19	2916.0
2021-06-16 22:20:19	2888.0
2021-06-16 22:25:19	2976.0
2021-06-16 22:30:19	2916.0
2021-06-16 22:35:19	2778.0
2021-06-16 22:40:19	3007.0
2021-06-16 22:45:19	3352.0
2021-06-16 22:50:19	2916.0
2021-06-16 22:55:19	3205.0
2021-06-16 23:00:19	1882.0
2021-06-16 23:05:19	2536.0
2021-06-16 23:10:19	2831.0
2021-06-16 23:15:19	2976.0
2021-06-16 23:20:19	2916.0
2021-06-16 23:25:19	3007.0
2021-06-16 23:30:19	2726.0
2021-06-16 23:35:19	2536.0
2021-06-16 23:40:19	2916.0
2021-06-16 23:45:19	2976.0
2021-06-16 23:50:19	2976.0
2021-06-16 23:55:19	3103.0
2021-06-17 00:00:19	2352.0
2021-06-17 00:05:19	3007.0
2021-06-17 00:10:19	2604.0
2021-06-17 00:15:19	2651.0
2021-06-17 00:20:19	2804.0
2021-06-17 00:25:19	2651.0
2021-06-17 00:30:19	2700.0
2021-06-17 00:35:19	2352.0
2021-06-17 00:40:19	3007.0
2021-06-17 00:45:19	2390.0
2021-06-17 00:50:19	2390.0
2021-06-17 00:55:19	2676.0
2021-06-17 01:00:19	2751.0
2021-06-17 01:05:19	2778.0
2021-06-17 01:10:19	2751.0
2021-06-17 01:15:19	2976.0
2021-06-17 01:20:19	2859.0
2021-06-17 01:25:19	2778.0
2021-06-17 01:30:19	2859.0
2021-06-17 01:35:19	2804.0
2021-06-17 01:40:19	2916.0
2021-06-17 01:45:19	3007.0
2021-06-17 01:50:19	2627.0
2021-06-17 01:55:19	2946.0
2021-06-17 02:00:19	2472.0
2021-06-17 02:05:19	2430.0
2021-06-17 02:10:19	2514.0
2021-06-17 02:15:19	2676.0
2021-06-17 02:20:19	2472.0
2021-06-17 02:25:19	2888.0
2021-06-17 02:30:19	2676.0
2021-06-17 02:35:19	2804.0
2021-06-17 02:40:19	2315.0
2021-06-17 02:45:19	2472.0
2021-06-17 02:50:19	2333.0
2021-06-17 02:55:19	2946.0
2021-06-17 03:00:19	2859.0
2021-06-17 03:05:19	2627.0
2021-06-17 03:10:19	2778.0
2021-06-17 03:15:19	1919.0
2021-06-17 03:20:19	2946.0
2021-06-17 03:25:19	2804.0
2021-06-17 03:30:19	3136.0
2021-06-17 03:35:19	2627.0
2021-06-17 03:40:19	2804.0
2021-06-17 03:45:19	2676.0
2021-06-17 03:50:19	2778.0
2021-06-17 03:55:19	2888.0
2021-06-17 04:00:19	2536.0
2021-06-17 04:05:19	2536.0
2021-06-17 04:10:19	2676.0
2021-06-17 04:15:19	2946.0
2021-06-17 04:20:19	2430.0
2021-06-17 04:25:19	2651.0
2021-06-17 04:30:19	2804.0
2021-06-17 04:35:19	2726.0
2021-06-17 04:40:19	2831.0
2021-06-17 04:45:19	2676.0
2021-06-17 04:50:19	3038.0
2021-06-17 04:55:19	2976.0
2021-06-17 05:00:19	2916.0
2021-06-17 05:05:19	2916.0
2021-06-17 05:10:19	2604.0
2021-06-17 05:15:19	3170.0
2021-06-17 05:20:19	3240.0
2021-06-17 05:25:19	2888.0
2021-06-17 05:30:19	2804.0
2021-06-17 05:35:19	2751.0
2021-06-17 05:40:19	2916.0
2021-06-17 05:45:19	2726.0
2021-06-17 05:50:19	3070.0
2021-06-17 05:55:19	3136.0
2021-06-17 06:00:19	2651.0
2021-06-17 06:05:19	3007.0
2021-06-17 06:10:19	3070.0
2021-06-17 06:15:19	3103.0
2021-06-17 06:20:19	3038.0
2021-06-17 06:25:19	3007.0
2021-06-17 06:30:19	2676.0
2021-06-17 06:35:19	2888.0
2021-06-17 06:40:19	2333.0
2021-06-17 06:45:19	2859.0
2021-06-17 06:50:19	2676.0
2021-06-17 06:55:19	2751.0
2021-06-17 07:00:19	2700.0
2021-06-17 07:05:19	2946.0
2021-06-17 07:10:19	2859.0
2021-06-17 07:15:19	2946.0
2021-06-17 07:20:19	2888.0
2021-06-17 07:25:19	2916.0
2021-06-17 07:30:19	2558.0
2021-06-17 07:35:19	3136.0
2021-06-17 07:40:19	2831.0
2021-06-17 07:45:19	2726.0
2021-06-17 07:50:19	2946.0
2021-06-17 07:55:19	2676.0
2021-06-17 08:00:19	2916.0
2021-06-17 08:05:19	2976.0
2021-06-17 08:10:19	2916.0
2021-06-17 08:15:19	2976.0
2021-06-17 08:20:19	3007.0
2021-06-17 08:25:19	2946.0
2021-06-17 08:30:19	2946.0
2021-06-17 08:35:19	2751.0
2021-06-17 08:40:19	2916.0
2021-06-17 08:45:19	3240.0
2021-06-17 08:50:19	2976.0
2021-06-17 08:55:19	3070.0
2021-06-17 09:00:19	3205.0
2021-06-17 09:05:19	2558.0
2021-06-17 09:10:19	2946.0
2021-06-17 09:15:19	3136.0
2021-06-17 09:20:19	3136.0
2021-06-17 09:25:19	3205.0
2021-06-17 09:30:19	3391.0
2021-06-17 09:35:19	2581.0
2021-06-17 09:40:19	2976.0
2021-06-17 09:45:19	2976.0
2021-06-17 09:50:19	2916.0
2021-06-17 09:55:19	3205.0
2021-06-17 10:00:19	2514.0
2021-06-17 10:05:19	2804.0
2021-06-17 10:10:19	2976.0
2021-06-17 10:15:19	3007.0
2021-06-17 10:20:19	3136.0
2021-06-17 10:25:19	2946.0
2021-06-17 10:30:19	2430.0
2021-06-17 10:35:19	2916.0
2021-06-17 10:40:19	2831.0
2021-06-17 10:45:19	2888.0
2021-06-17 10:50:19	2651.0
2021-06-17 10:55:19	3240.0
2021-06-17 11:00:19	2430.0
2021-06-17 11:05:19	2859.0
2021-06-17 11:10:19	2916.0
2021-06-17 11:15:19	2804.0
2021-06-17 11:20:19	2581.0
2021-06-17 11:25:19	3038.0
2021-06-17 11:30:19	3007.0
2021-06-17 11:35:19	2946.0
2021-06-17 11:40:19	1906.0
2021-06-17 11:45:19	3136.0
2021-06-17 11:50:19	2804.0
2021-06-17 11:55:19	3277.0
2021-06-17 12:00:19	3600.0
2021-06-17 12:05:19	3038.0
2021-06-17 12:10:19	3136.0
2021-06-17 12:15:19	2976.0
2021-06-17 12:20:19	3007.0
2021-06-17 12:25:19	2493.0
2021-06-17 12:30:19	2558.0
2021-06-17 12:35:19	3007.0
2021-06-17 12:40:19	2859.0
2021-06-17 12:45:19	3170.0
2021-06-17 12:50:19	2726.0
2021-06-17 12:55:19	3240.0
2021-06-17 13:00:19	3038.0
2021-06-17 13:05:19	2651.0
2021-06-17 13:10:19	3007.0
2021-06-17 13:15:19	2946.0
2021-06-17 13:20:19	3205.0
2021-06-17 13:25:19	3352.0
2021-06-17 13:30:19	2946.0
2021-06-17 13:35:19	2946.0
2021-06-17 13:40:19	2859.0
2021-06-17 13:45:19	3070.0
2021-06-17 13:50:19	2243.0
2021-06-17 13:55:19	3070.0
2021-06-17 14:00:19	2700.0
2021-06-17 14:05:19	2916.0
2021-06-17 14:10:19	2888.0
2021-06-17 14:15:19	2627.0
2021-06-17 14:20:19	2472.0
2021-06-17 14:25:19	2558.0
2021-06-17 14:30:19	2676.0
2021-06-17 14:35:19	2700.0
2021-06-17 14:40:19	3170.0
2021-06-17 14:45:19	2651.0
2021-06-17 14:50:19	3038.0
2021-06-17 14:55:19	3205.0
2021-06-17 15:00:19	2859.0
2021-06-17 15:05:19	3103.0
2021-06-17 15:10:19	3205.0
2021-06-17 15:15:19	2916.0
2021-06-17 15:20:19	3070.0
2021-06-17 15:25:19	3070.0
2021-06-17 15:30:19	2976.0
2021-06-17 15:35:19	3007.0
2021-06-17 15:40:19	3205.0
2021-06-17 15:45:19	3103.0
2021-06-17 15:50:19	3070.0
2021-06-17 15:55:19	3070.0
2021-06-17 16:00:19	3070.0
2021-06-17 16:05:19	3277.0
2021-06-17 16:10:19	2804.0
2021-06-17 16:15:19	3240.0
2021-06-17 16:20:19	2751.0
2021-06-17 16:25:19	3136.0
2021-06-17 16:30:19	3007.0
2021-06-17 16:35:19	2726.0
2021-06-17 16:40:19	3136.0
2021-06-17 16:45:19	3007.0
2021-06-17 16:50:19	3103.0
2021-06-17 16:55:19	2536.0
2021-06-17 17:00:19	2778.0
2021-06-17 17:05:19	3038.0
2021-06-17 17:10:19	3136.0
2021-06-17 17:15:19	2831.0
2021-06-17 17:20:19	2604.0
2021-06-17 17:25:19	3240.0
2021-06-17 17:30:19	2804.0
2021-06-17 17:35:19	3038.0
2021-06-17 17:40:19	2676.0
2021-06-17 17:45:19	3136.0
2021-06-17 17:50:19	2946.0
2021-06-17 17:55:19	2976.0
2021-06-17 18:00:19	2831.0
2021-06-17 18:05:19	2859.0
2021-06-17 18:10:19	2651.0
2021-06-17 18:15:19	3205.0
2021-06-17 18:20:19	2804.0
2021-06-17 18:25:19	2831.0
2021-06-17 18:30:19	2726.0
2021-06-17 18:35:19	2946.0
2021-06-17 18:40:19	3038.0
2021-06-17 18:45:19	3007.0
2021-06-17 18:50:19	2859.0
2021-06-17 18:55:19	3136.0
2021-06-17 19:00:19	2700.0
2021-06-17 19:05:19	2888.0
2021-06-17 19:10:19	2888.0
2021-06-17 19:15:19	3314.0
2021-06-17 19:20:19	2859.0
2021-06-17 19:25:19	3205.0
2021-06-17 19:30:19	2804.0
2021-06-17 19:35:19	3070.0
2021-06-17 19:40:19	3007.0
2021-06-17 19:45:19	3277.0
2021-06-17 19:50:19	3170.0
2021-06-17 19:55:19	3103.0
2021-06-17 20:00:19	3103.0
2021-06-17 20:05:19	2946.0
2021-06-17 20:10:19	2804.0
2021-06-17 20:15:19	3170.0
2021-06-17 20:20:19	2726.0
2021-06-17 20:25:19	3103.0
2021-06-17 20:30:19	2916.0
2021-06-17 20:35:19	2976.0
2021-06-17 20:40:19	3038.0
2021-06-17 20:45:19	2831.0
2021-06-17 20:50:19	2726.0
2021-06-17 20:55:19	3136.0
2021-06-17 21:00:19	2352.0
2021-06-17 21:05:19	2916.0
2021-06-17 21:10:19	2804.0
2021-06-17 21:15:19	2804.0
2021-06-17 21:20:19	2751.0
2021-06-17 21:25:19	3277.0
2021-06-17 21:30:19	2536.0
2021-06-17 21:35:19	2888.0
2021-06-17 21:40:19	2581.0
2021-06-17 21:45:19	2946.0
2021-06-17 21:50:19	2604.0
2021-06-17 21:55:19	2804.0
2021-06-17 22:00:19	2536.0
2021-06-17 22:05:19	3038.0
2021-06-17 22:10:19	2778.0
2021-06-17 22:15:19	3240.0
2021-06-17 22:20:19	2946.0
2021-06-17 22:25:19	3240.0
2021-06-17 22:30:19	3038.0
2021-06-17 22:35:19	3103.0
2021-06-17 22:40:19	3205.0
2021-06-17 22:45:19	3103.0
2021-06-17 22:50:19	3038.0
2021-06-17 22:55:19	3314.0
2021-06-17 23:00:19	2804.0
2021-06-17 23:05:19	2976.0
2021-06-17 23:10:19	3103.0
2021-06-17 23:15:19	3103.0
2021-06-17 23:20:19	3038.0
2021-06-17 23:25:19	3352.0
2021-06-17 23:30:19	2859.0
2021-06-17 23:35:19	1998.0
2021-06-17 23:40:19	2700.0
2021-06-17 23:45:19	3136.0
2021-06-17 23:50:19	2700.0
2021-06-17 23:55:19	3472.0
2021-06-18 00:00:19	2916.0
2021-06-18 00:05:19	2804.0
2021-06-18 00:10:19	3240.0
2021-06-18 00:15:19	3170.0
2021-06-18 00:20:19	2472.0
2021-06-18 00:25:19	2558.0
2021-06-18 00:30:19	2581.0
2021-06-18 00:35:19	2627.0
2021-06-18 00:40:19	2751.0
2021-06-18 00:45:19	3103.0
2021-06-18 00:50:19	2916.0
2021-06-18 00:55:19	2916.0
2021-06-18 01:00:19	2581.0
2021-06-18 01:05:19	1858.0
2021-06-18 01:10:19	2888.0
2021-06-18 01:15:19	2261.0
2021-06-18 01:20:19	2390.0
2021-06-18 01:25:19	3070.0
2021-06-18 01:30:19	2804.0
2021-06-18 01:35:19	2946.0
2021-06-18 01:40:19	2859.0
