ts	snmplinuxmeminfo_percent_available_memory
2021-06-15 23:23:47	47.0
2021-06-15 23:28:47	47.0
2021-06-15 23:33:47	47.0
2021-06-15 23:38:47	47.0
2021-06-15 23:43:47	47.0
2021-06-15 23:48:47	47.0
2021-06-15 23:53:47	47.0
2021-06-15 23:58:47	47.0
2021-06-16 00:03:47	47.0
2021-06-16 00:08:47	47.0
2021-06-16 00:13:47	47.0
2021-06-16 00:18:47	47.0
2021-06-16 00:23:47	47.0
2021-06-16 00:28:47	47.0
2021-06-16 00:33:47	47.0
2021-06-16 00:38:47	47.0
2021-06-16 00:43:47	47.0
2021-06-16 00:48:47	47.0
2021-06-16 00:53:47	47.0
2021-06-16 00:58:47	47.0
2021-06-16 01:03:47	47.0
2021-06-16 01:08:47	47.0
2021-06-16 01:13:47	47.0
2021-06-16 01:18:47	47.0
2021-06-16 01:23:47	47.0
2021-06-16 01:28:47	47.0
2021-06-16 01:33:47	47.0
2021-06-16 01:38:47	47.0
2021-06-16 01:43:47	47.0
2021-06-16 01:48:47	47.0
2021-06-16 01:53:47	47.0
2021-06-16 01:58:47	47.0
2021-06-16 02:03:47	47.0
2021-06-16 02:08:47	47.0
2021-06-16 02:13:47	47.0
2021-06-16 02:18:47	47.0
2021-06-16 02:23:47	47.0
2021-06-16 02:28:47	47.0
2021-06-16 02:33:47	47.0
2021-06-16 02:38:47	47.0
2021-06-16 02:43:47	47.0
2021-06-16 02:48:47	47.0
2021-06-16 02:53:47	47.0
2021-06-16 02:58:47	47.0
2021-06-16 03:03:47	47.0
2021-06-16 03:08:47	47.0
2021-06-16 03:13:47	47.0
2021-06-16 03:18:47	47.0
2021-06-16 03:23:47	47.0
2021-06-16 03:28:47	47.0
2021-06-16 03:33:47	47.0
2021-06-16 03:38:47	47.0
2021-06-16 03:43:47	47.0
2021-06-16 03:48:47	47.0
2021-06-16 03:53:47	47.0
2021-06-16 03:58:47	47.0
2021-06-16 04:03:47	47.0
2021-06-16 04:08:47	47.0
2021-06-16 04:13:47	47.0
2021-06-16 04:18:47	47.0
2021-06-16 04:23:47	47.0
2021-06-16 04:28:47	47.0
2021-06-16 04:33:47	47.0
2021-06-16 04:38:47	47.0
2021-06-16 04:43:47	47.0
2021-06-16 04:48:47	47.0
2021-06-16 04:53:47	47.0
2021-06-16 04:58:47	47.0
2021-06-16 05:03:47	47.0
2021-06-16 05:08:47	47.0
2021-06-16 05:13:47	47.0
2021-06-16 05:18:47	47.0
2021-06-16 05:23:47	47.0
2021-06-16 05:28:47	47.0
2021-06-16 05:33:47	47.0
2021-06-16 05:38:47	47.0
2021-06-16 05:43:47	47.0
2021-06-16 05:48:47	47.0
2021-06-16 05:53:47	47.0
2021-06-16 05:58:47	47.0
2021-06-16 06:03:47	47.0
2021-06-16 06:08:47	47.0
2021-06-16 06:13:47	47.0
2021-06-16 06:18:47	47.0
2021-06-16 06:23:47	47.0
2021-06-16 06:28:47	47.0
2021-06-16 06:33:47	47.0
2021-06-16 06:38:47	47.0
2021-06-16 06:43:47	47.0
2021-06-16 06:48:47	47.0
2021-06-16 06:53:47	47.0
2021-06-16 06:58:47	47.0
2021-06-16 07:03:47	47.0
2021-06-16 07:08:47	47.0
2021-06-16 07:13:47	47.0
2021-06-16 07:18:47	47.0
2021-06-16 07:23:47	47.0
2021-06-16 07:28:47	47.0
2021-06-16 07:33:47	47.0
2021-06-16 07:38:47	47.0
2021-06-16 07:43:47	47.0
2021-06-16 07:48:47	47.0
2021-06-16 07:53:47	47.0
2021-06-16 07:58:47	47.0
2021-06-16 08:03:47	47.0
2021-06-16 08:08:47	47.0
2021-06-16 08:13:47	47.0
2021-06-16 08:18:47	47.0
2021-06-16 08:23:47	47.0
2021-06-16 08:28:47	47.0
2021-06-16 08:33:47	47.0
2021-06-16 08:38:47	47.0
2021-06-16 08:43:47	47.0
2021-06-16 08:48:47	47.0
2021-06-16 08:53:47	47.0
2021-06-16 08:58:47	47.0
2021-06-16 09:03:47	47.0
2021-06-16 09:08:47	47.0
2021-06-16 09:13:47	47.0
2021-06-16 09:18:47	47.0
2021-06-16 09:23:47	47.0
2021-06-16 09:28:47	47.0
2021-06-16 09:33:47	47.0
2021-06-16 09:38:47	47.0
2021-06-16 09:43:47	47.0
2021-06-16 09:48:47	47.0
2021-06-16 09:53:47	47.0
2021-06-16 09:58:47	47.0
2021-06-16 10:03:47	47.0
2021-06-16 10:08:47	47.0
2021-06-16 10:13:47	47.0
2021-06-16 10:18:47	47.0
2021-06-16 10:23:47	47.0
2021-06-16 10:28:47	47.0
2021-06-16 10:33:47	47.0
2021-06-16 10:38:47	47.0
2021-06-16 10:43:47	47.0
2021-06-16 10:48:47	47.0
2021-06-16 10:53:47	47.0
2021-06-16 10:58:47	47.0
2021-06-16 11:03:47	47.0
2021-06-16 11:08:47	47.0
2021-06-16 11:13:47	47.0
2021-06-16 11:18:47	47.0
2021-06-16 11:23:47	47.0
2021-06-16 11:28:47	47.0
2021-06-16 11:33:47	47.0
2021-06-16 11:38:47	47.0
2021-06-16 11:43:47	47.0
2021-06-16 11:48:47	47.0
2021-06-16 11:53:47	47.0
2021-06-16 11:58:47	47.0
2021-06-16 12:03:47	47.0
2021-06-16 12:08:47	47.0
2021-06-16 12:13:47	47.0
2021-06-16 12:18:47	47.0
2021-06-16 12:23:47	47.0
2021-06-16 12:28:47	47.0
2021-06-16 12:33:47	47.0
2021-06-16 12:38:47	47.0
2021-06-16 12:43:47	47.0
2021-06-16 12:48:47	47.0
2021-06-16 12:53:47	47.0
2021-06-16 12:58:47	47.0
2021-06-16 13:03:47	47.0
2021-06-16 13:08:47	47.0
2021-06-16 13:13:47	47.0
2021-06-16 13:18:47	47.0
2021-06-16 13:23:47	47.0
2021-06-16 13:28:47	47.0
2021-06-16 13:33:47	47.0
2021-06-16 13:38:47	47.0
2021-06-16 13:43:47	47.0
2021-06-16 13:48:47	47.0
2021-06-16 13:53:47	47.0
2021-06-16 13:58:47	47.0
2021-06-16 14:03:47	47.0
