ts	snmprmon_packets_65_127_bytes_speed
2021-06-26 17:41:24	124.2581
2021-06-26 17:42:24	123.8627
2021-06-26 17:43:24	124.3707
2021-06-26 17:44:24	133.9557
2021-06-26 17:45:24	123.996
2021-06-26 17:46:24	133.0277
2021-06-26 17:47:24	127.788
2021-06-26 17:48:24	126.5044
2021-06-26 17:49:24	129.0715
2021-06-26 17:50:24	126.0957
2021-06-26 17:51:24	145.3242
2021-06-26 17:52:24	140.4234
2021-06-26 17:53:24	156.5572
2021-06-26 17:54:24	165.6057
2021-06-26 17:55:24	167.6171
2021-06-26 17:56:24	142.7643
2021-06-26 17:57:24	126.8378
2021-06-26 17:58:24	172.0047
2021-06-26 17:59:24	165.2442
2021-06-26 18:00:24	181.9
2021-06-26 18:01:24	191.882
2021-06-26 18:02:24	157.6237
2021-06-26 18:03:24	173.5456
2021-06-26 18:04:24	223.091
2021-06-26 18:05:24	223.5
2021-06-26 18:06:24	199.6167
2021-06-26 18:07:24	178.4631
2021-06-26 18:08:24	171.9953
2021-06-26 18:09:24	187.95
2021-06-26 18:10:24	174.8833
2021-06-26 18:11:24	182.8443
2021-06-26 18:12:24	176.6294
2021-06-26 18:13:24	137.1938
2021-06-26 18:14:24	146.0243
2021-06-26 18:15:24	168.4833
2021-06-26 18:16:24	193.948
2021-06-26 18:17:24	187.3958
2021-06-26 18:18:24	169.9883
2021-06-26 18:19:24	143.9407
2021-06-26 18:20:24	132.0
2021-06-26 18:21:24	127.7667
2021-06-26 18:22:24	146.6244
2021-06-26 18:23:24	122.6145
2021-06-26 18:24:24	132.2543
2021-06-26 18:25:24	129.0452
2021-06-26 18:26:24	129.5932
2021-06-26 18:27:24	149.0748
2021-06-26 18:28:24	137.4938
2021-06-26 18:29:24	130.5218
2021-06-26 18:30:24	132.9722
2021-06-26 18:31:24	133.978
2021-06-26 18:32:24	129.5117
2021-06-26 18:33:24	144.1074
2021-06-26 18:34:24	131.2052
2021-06-26 18:35:24	169.95
2021-06-26 18:36:24	154.25
2021-06-26 18:37:24	126.9712
2021-06-26 18:38:24	132.5054
2021-06-26 18:39:24	130.3717
2021-06-26 18:40:24	121.4262
2021-06-26 18:41:24	121.787
2021-06-26 18:42:24	137.7626
2021-06-26 18:43:24	121.0868
2021-06-26 18:44:24	125.5457
2021-06-26 18:45:24	124.6708
2021-06-26 18:46:24	119.5065
2021-06-26 18:47:24	126.9288
2021-06-26 18:48:24	122.5408
2021-06-26 18:49:24	114.6191
2021-06-26 18:50:24	122.8129
2021-06-26 18:51:24	127.3424
2021-06-26 18:52:24	120.9035
2021-06-26 18:53:24	127.1045
2021-06-26 18:54:24	123.0205
2021-06-26 18:55:24	118.0167
2021-06-26 18:56:24	124.6082
2021-06-26 18:57:24	119.2532
2021-06-26 18:58:24	123.4745
2021-06-26 18:59:24	120.9465
2021-06-26 19:00:24	115.936
2021-06-26 19:01:24	124.4915
2021-06-26 19:02:24	123.7873
2021-06-26 19:03:24	119.9467
2021-06-26 19:04:24	128.3047
2021-06-26 19:05:24	122.3667
2021-06-26 19:06:24	125.5209
2021-06-26 19:07:24	121.0868
2021-06-26 19:08:24	123.8373
2021-06-26 19:09:24	128.7048
2021-06-26 19:10:24	114.7333
2021-06-26 19:11:24	125.7876
2021-06-26 19:12:24	119.9867
2021-06-26 19:13:24	115.3692
2021-06-26 19:14:24	124.65
2021-06-26 19:15:24	120.7833
2021-06-26 19:16:24	127.2591
2021-06-26 19:17:24	119.8366
2021-06-26 19:18:24	117.3138
2021-06-26 19:19:24	131.6219
2021-06-26 19:20:24	144.3333
2021-06-26 19:21:24	124.4167
2021-06-26 19:22:24	133.3222
2021-06-26 19:23:24	132.022
2021-06-26 19:24:24	126.8333
2021-06-26 19:25:24	123.3333
2021-06-26 19:26:24	122.0537
2021-06-26 19:27:24	135.7786
2021-06-26 19:28:24	125.0208
2021-06-26 19:29:24	127.6787
2021-06-26 19:30:24	124.85
2021-06-26 19:31:24	121.4738
2021-06-26 19:32:24	133.4556
