sensortype,sensor_description,channels
snmpprintergeneric,https://www.paessler.com/manuals/prtg/snmp_printer_sensor,snmpprintergeneric_total_page_count
,,snmpprintergeneric_toner_schwarz_ok_100
,,snmpprintergeneric_toner_cyan_ok_100
,,snmpprintergeneric_toner_gelb_ok_100
,,snmpprintergeneric_printer_cover_cover_closed
,,snmpprintergeneric_printercover_cover_closed
,,snmpprintergeneric_cyan_ink_hp_f6u16a_ok_100
,,snmpprintergeneric_magenta_ink_hp_f6u17a_ok_100
,,snmpprintergeneric_yellow_ink_hp_f6u18a_ok_100
,,snmpprintergeneric_black_ink_hp_l0s70a_ok_100
,,snmpprintergeneric_top_cover
,,snmpprintergeneric_rear_access_door
,,snmpprintergeneric_black_toner_cartridge_ok_100
,,snmpprintergeneric_yellow_toner_cartridge_ok_100
,,snmpprintergeneric_canon_cexv_51_black_toner
,,snmpprintergeneric_canon_cexv_51_cyan_toner
,,snmpprintergeneric_canon_cexv_51_magenta_toner
,,snmpprintergeneric_canon_cexv_51_yellow_toner
snmpqnaplogicaldisk,https://www.paessler.com/manuals/prtg/snmp_qnap_logical_disk_sensor,snmpqnaplogicaldisk_free_space
,,snmpqnaplogicaldisk_volume_status_ready
snmpqnapphysicaldisk,https://www.paessler.com/manuals/prtg/snmp_qnap_physical_disk_sensor,snmpqnapphysicaldisk_temperature
snmpqnapsystemhealth,https://www.paessler.com/manuals/prtg/snmp_qnap_system_health_sensor,snmpqnapsystemhealth_cpu_usage
,,snmpqnapsystemhealth_available_memory
,,snmpqnapsystemhealth_percent_available_memory
,,snmpqnapsystemhealth_cpu_temperature
,,snmpqnapsystemhealth_system_temperature
,,snmpqnapsystemhealth_fan_1_system_fan_1
,,snmpqnapsystemhealth_fan_2_system_fan_2
snmprmon,https://www.paessler.com/manuals/prtg/snmp_rmon_sensor,snmprmon_transmitted_speed
,,snmprmon_packets_speed
,,snmprmon_broadcast_packets_speed
,,snmprmon_multicast_packets_speed
,,snmprmon_crc_errors_speed
,,snmprmon_packets__64_byte_speed
,,snmprmon_packets_65_127_bytes_speed
,,snmprmon_packets_128_255_bytes_speed
,,snmprmon_packets_256_511_bytes_speed
,,snmprmon_packets_512_1023_bytes_speed
,,snmprmon_drop_events_speed
snmpsynologylogicaldisk,https://www.paessler.com/manuals/prtg/snmp_synology_logical_disk_sensor,snmpsynologylogicaldisk_volume_status_normal
snmpsynologyphysicaldisk,https://www.paessler.com/manuals/prtg/snmp_synology_physical_disk_sensor,snmpsynologyphysicaldisk_temperature
snmpsynologysystemhealth,https://www.paessler.com/manuals/prtg/snmp_synology_system_health_sensor,snmpsynologysystemhealth_temperature
,,snmpsynologysystemhealth_cpu_load
snmptraffic,https://www.paessler.com/manuals/prtg/snmp_traffic_sensor,snmptraffic_traffic_total_speed
,,snmptraffic_traffic_in_speed
,,snmptraffic_traffic_out_speed
,,snmptraffic_errors_in_speed
,,snmptraffic_errors_out_speed
,,snmptraffic_discards_in_speed
,,snmptraffic_discards_out_speed
,,snmptraffic_unicast_in_speed
,,snmptraffic_unicast_out_speed
,,snmptraffic_multicast_in_speed
,,snmptraffic_multicast_out_speed
,,snmptraffic_broadcast_in_speed
,,snmptraffic_broadcast_out_speed
